Category,Item Name,Dine In Price,Take Away Price
ABC - ABC,ABC Biasa,6,6
ABC - ABC,ABC Special,6,6
ABC - ABC,Lychee Kang,6,6
AIR TIN - AIR TIN,Drinking Water Besar,2,2
AIR TIN - AIR TIN,Drinking Water Kecil,1,1
AIR TIN - AIR TIN,Air Tin,2.7,2.7
AIR TIN - AIR TIN,Basil Seed,4,4
AIR TIN - AIR TIN,Calpis,3.5,3.5
AIR TIN - AIR TIN,Durian Blenda,4,4
AIR TIN - AIR TIN,Mango Tin,4,4
AIR TIN - AIR TIN,100 Plus 500ml,3.5,3.5
AIR TIN - AIR TIN,Coca Cola 500ml,3.5,3.5
AIR TIN - AIR TIN,Red Bull,4,4
AIR TIN - AIR TIN,Nescafe Tin,3.5,3.5
AIR TIN - AIR TIN,Milo Tin,3.5,3.5
AIR TIN - AIR TIN,100 Plus Big 1.5L,5,5
AIR TIN - AIR TIN,Coca Cola Big,5,5
AIR TIN - AIR TIN,AIS BATU,0.5,0.5
AIR TIN - AIR TIN,AIR TIN BUNGKUS,3,3
AIR TIN - AIR TIN,ASAM JAWA BOTTOL,3,3
AIR TIN - AIR TIN,ASAM JAWA MADU,3.5,3.5
AIR TIN - AIR TIN,BARBICAN,6.5,6.5
AIR TIN - AIR TIN,PRAN FALOODA,4.8,4.8
BREAK FAST - BREAK FAST,Vadai,1,1
BREAK FAST - BREAK FAST,Samosa,1.5,1.5
BREAK FAST - BREAK FAST,Puttu Mayam 1 BIJI,1,1
BREAK FAST - BREAK FAST,Poori 1 Set*2pcs,4,4
BREAK FAST - BREAK FAST,Poori 1 Keping,2,2
BREAK FAST - BREAK FAST,Capati Biasa,2.5,2.5
BREAK FAST - BREAK FAST,Capati Planta,3,3
BREAK FAST - BREAK FAST,Capati Cheese,3.8,3.8
BREAK FAST - BREAK FAST,Capati Sardin,4.9,4.9
BREAK FAST - BREAK FAST,IDLI 1 BIJI,1,1
BREAK FAST - BREAK FAST,Capati Masala,4,4
BREAK FAST - BREAK FAST,Capati Tampal,3.9,3.9
BREAK FAST - BREAK FAST,Capati Ghee,4,4
BREAK FAST - BREAK FAST,Capati Kaya,3.2,3.2
BREAK FAST - BREAK FAST,IDLI 1 SET*2pcs,2,2
BREAK FAST - BREAK FAST,Kentang Masala,2,2
BREAK FAST - BREAK FAST,APPAM BIASA,2.5,2.5
BREAK FAST - BREAK FAST,APPAM TELUR,3.5,3.5
BREAK FAST - BREAK FAST,KENTANG MASALA RM1,1,1
BREAK FAST - BREAK FAST,KARUPUP BIASA,1,1
BREAK FAST - BREAK FAST,KARIPUP SARDIN,1.5,1.5
BUAH BUAHAN - BUAH BUAHAN,Fruit Papaya Long Cut,3,3
BUAH BUAHAN - BUAH BUAHAN,Fruit Jambu,4,4
BUAH BUAHAN - BUAH BUAHAN,Fruit Dragon,5,5
BUAH BUAHAN - BUAH BUAHAN,Fruit Mango,5,5
BUAH BUAHAN - BUAH BUAHAN,Fruit Nanas,5,5
BUAH BUAHAN - BUAH BUAHAN,Fruit Papaya Small Cut,3.5,3.5
BUAH BUAHAN - BUAH BUAHAN,BUAH NANGKA,5,5
FRESH JUICE - FRESH JUICE,Air Kelapa,6.3,6.3
FRESH JUICE - FRESH JUICE,Orange Juice,6.3,6.3
FRESH JUICE - FRESH JUICE,Orange Juice Besar,7.8,7.8
FRESH JUICE - FRESH JUICE,Pineapple Jucie,6.3,6.3
FRESH JUICE - FRESH JUICE,Pineapple Juice Besar,7.5,7.8
FRESH JUICE - FRESH JUICE,Carrot O,6,6.3
FRESH JUICE - FRESH JUICE,Apple Juice,6,6.3
FRESH JUICE - FRESH JUICE,Apple Juice Besar,7.5,7.8
FRESH JUICE - FRESH JUICE,Watermelon Juice,6,6.3
FRESH JUICE - FRESH JUICE,Watermelon Juice Besar,7.5,7.8
FRESH JUICE - FRESH JUICE,Carrot O Besar,7.5,7.8
FRESH JUICE - FRESH JUICE,Carrot Milk,7,7.3
FRESH JUICE - FRESH JUICE,Carrot Milk Besar,8.5,8.8
FRESH JUICE - FRESH JUICE,2 Mixed Fruit,7.5,7.8
FRESH JUICE - FRESH JUICE,Mixed Fruit Besar,10.5,10.8
FRESH JUICE - FRESH JUICE,Lychee,5.5,5.8
FRESH JUICE - FRESH JUICE,Lemon Panas,3.8,4.1
FRESH JUICE - FRESH JUICE,Lemon Ais,4.1,4.3
FRESH JUICE - FRESH JUICE,LEMON HALIA PANAS,4.3,4.8
FRESH JUICE - FRESH JUICE,LEMON HALIA AIS,4.8,4.8
FRESH JUICE - FRESH JUICE,Watermelon Lychee,7.5,7.8
FRESH JUICE - FRESH JUICE,Apple Lychee,7.5,7.8
FRESH JUICE - FRESH JUICE,Lychee Besar,7.5,7.8
FRESH JUICE - FRESH JUICE,Teh O Lemon Panas,4,4.3
FRESH JUICE - FRESH JUICE,Teh O Lemon Ais,4.6,4.9
FRESH JUICE - FRESH JUICE,Lemon Asam Boi Panas,4.8,5
FRESH JUICE - FRESH JUICE,Lemon Asam Boi Ais,5.1,5.4
